"_Imputation_","Parm","Estimate","StdErr","LowerCL","UpperCL","Z","ProbZ"
1,"Prm6",5.314426643814,0.345960264334277,4.63635698563686,5.99249630199113,15.3613787237688,0
1,"Prm7",6.85959354322624,0.354746623648873,6.16430293723726,7.55488414921522,19.3365999446857,0
1,"time",-0.0825359245956146,0.0132465541139782,-0.108498693578273,-0.0565731556129563,-6.23074679538882,4.64216887152702e-10
1,"age",-0.062274213883824,0.00532314629498055,-0.0727073889064236,-0.0518410388612243,-11.6987605511698,0
1,"side2",0.10210412195779,0.0665572745242409,-0.0283457390188672,0.232553982934448,1.53407907231242,0.125010201114764
1,"time*age",-0.00173034974520445,0.00022388186076443,-0.00216915012909454,-0.00129154936131435,-7.72885190116019,1.08801856413265e-14
1,"age*time2",9.73810697479851e-05,4.92886251169569e-06,8.77206767403119e-05,0.000107041462755658,19.7573110462931,0
2,"Prm6",5.44541797024296,0.361364586358948,4.7371563956912,6.15367954479471,15.0690415602428,0
2,"Prm7",7.0188600733113,0.370053486519173,6.29356856738024,7.74415157924236,18.9671502336937,0
2,"time",-0.0861810210279806,0.0149443405127802,-0.115471390205733,-0.0568906518502285,-5.7667998768015,8.07908917543898e-09
2,"age",-0.0654211532301488,0.00558551845692506,-0.0763685682407056,-0.0544737382195919,-11.7126375527482,0
2,"side2",0.104365971232143,0.0614850341180158,-0.0161424812273841,0.224874423691671,1.69742072569759,0.0896171469200542
2,"time*age",-0.00148806217465977,0.000242512773785188,-0.00196337847706965,-0.00101274587224989,-6.13601564748031,8.46168246582124e-10
2,"age*time2",9.21630115885827e-05,5.38018652881759e-06,8.16180397619927e-05,0.000102707983415173,17.1300773857812,0
3,"Prm6",5.43767925516669,0.345915948022284,4.75969645536498,6.11566205496839,15.7196546914235,0
3,"Prm7",6.98354689057311,0.354627154292731,6.28849044021943,7.6786033409268,19.6926456590757,0
3,"time",-0.0693413968529191,0.0136405371817084,-0.096076358458847,-0.0426064352469912,-5.08347991939088,3.70581773490031e-07
