"_Imputation_","Parm","Estimate","Stderr","LowerCL","UpperCL","Z","ProbZ"
1,"Prm6",3.97399601064781,0.447320348486385,3.09726423806259,4.85072778323303,8.88400454863001,0
1,"Prm7",5.35854926715762,0.491904091084087,4.3944349647849,6.32266356953034,10.8934838402099,0
1,"time",-0.038254722790586,0.0262006177893328,-0.0896069900303777,0.0130975444492057,-1.46006949523766,0.14427097531061
1,"age",-0.0440964905788617,0.00700031570227419,-0.0578168572357293,-0.030376123921994,-6.29921455750004,2.99157587591026e-10
1,"side2",-0.0244183285752671,0.118902654282043,-0.257463248634288,0.208626591483754,-0.205364032642583,0.837287719150685
1,"time*side2",-0.00436876414842275,0.0108094498336429,-0.0255548965150553,0.0168173682182098,-0.404161563785197,0.686093916013807
1,"time*age",0.00149230813317234,0.000512093143040896,0.000488624016082263,0.00249599225026241,2.9141341833065,0.00356676561294234
2,"Prm6",3.95108543689761,0.428150157552319,3.11192654811991,4.7902443256753,9.2282704261642,0
2,"Prm7",5.41408934749803,0.467223895312941,4.49834733996815,6.32983135502791,11.5877835055327,0
2,"time",-0.0369526142908269,0.0241925215594234,-0.0843690852425056,0.0104638566608517,-1.52743955193184,0.126651747651682
2,"age",-0.0438435743810987,0.00678435877083755,-0.0571406732301387,-0.0305464755320587,-6.46244926927502,1.03021591257857e-10
2,"side2",0.0714208625681708,0.110011341636633,-0.144197404930561,0.287039130066903,0.649213631118813,0.516200302224667
2,"time*side2",-0.0132476003978484,0.00990591699324556,-0.032662840938453,0.00616764014275622,-1.33734215690293,0.181110976135502
2,"time*age",0.00147313707406169,0.000489884474209928,0.000512981148024887,0.00243329300009849,3.00711116929664,0.00263743292045149
3,"Prm6",4.01663299281263,0.431229388088276,3.17143892308436,4.86182706254089,9.31437676504179,0
3,"Prm7",5.49217449144107,0.490887768614075,4.53005214450625,6.45429683837589,11.1882488067428,0
3,"time",-0.0417360998590957,0.0246036960432067,-0.0899584579903515,0.00648625827216007,-1.69633455826323,0.0898225393697336
3,"age",-0.0442173385795278,0.00690011013494026,-0.0577413059333705,-0.0306933712256851,-6.40820765390734,1.47240442061047e-10
3,"side2",-0.0179434431836917,0.118748121821076,-0.250685485184776,0.214798598817393,-0.151105069356195,0.87989283365191
3,"time*side2",-0.00284278417334699,0.0105784607411176,-0.0235761862378084,0.0178906178911144,-0.268733253628982,0.788134960079593
3,"time*age",0.00145468017655318,0.00048336614741229,0.000507299936279209,0.00240206041682714,3.00947880678205,0.00261696335736428
4,"Prm6",4.08314189303918,0.461080965858263,3.17943980600004,4.98684398007832,8.85558545111217,0
4,"Prm7",5.55171889164098,0.511113669272936,4.54995450785991,6.55348327542205,10.8620043356273,0
4,"time",-0.0454260921136914,0.0282102206675074,-0.100717108617933,0.00986492439055061,-1.61027071177835,0.10733877021253
4,"age",-0.0461275192499836,0.00716834444491412,-0.060177216190793,-0.0320778223091741,-6.43489157147166,1.23561605391842e-10
4,"side2",0.0548721170275002,0.129934791914539,-0.199795395463702,0.309539629518702,0.422305036387722,0.672802382519251
4,"time*side2",-0.00905415556613023,0.0103912349072618,-0.0294206017392588,0.0113122906069983,-0.871326232823669,0.383576050921524
4,"time*age",0.00161745700344481,0.000516975703982418,0.000604203242757031,0.00263071076413259,3.12869055738027,0.0017558711588026
5,"Prm6",3.93166806384387,0.432107025316213,3.08475385675736,4.77858227093039,9.09882930268654,0
5,"Prm7",5.34799686082477,0.478844503919798,4.40947887894702,6.28651484270252,11.1685459831873,0
5,"time",-0.0383791805134638,0.0244500458564369,-0.0863003898124328,0.00954202878550528,-1.56969769049982,0.116485458779621
5,"age",-0.044294188263367,0.00688803397889433,-0.0577944867862881,-0.030793889740446,-6.4305995584646,1.27101440483557e-10
5,"side2",0.071265906153046,0.107860541275414,-0.140136870099762,0.282668682405854,0.660722682366978,0.508790174740204
5,"time*side2",-0.00760783068585558,0.0102630652393168,-0.0277230689259015,0.0125074075541903,-0.74128250268845,0.458522168555664
5,"time*age",0.00148745569344622,0.000481083547032056,0.000544549267708614,0.00243036211918384,3.09188643557397,0.0019888892210207
6,"Prm6",4.19511647673524,0.471664938993807,3.2706701835371,5.11956276993338,8.89427245892941,0
6,"Prm7",5.63845883242423,0.524931480283097,4.60961203671806,6.6673056281304,10.741323475939,0
6,"time",-0.0534738661871172,0.0276111468881682,-0.107590719659772,0.000642987285537557,-1.93667674883986,0.0527848696881461
6,"age",-0.047545281721762,0.00737957097806452,-0.0620089750601254,-0.0330815883833985,-6.44282463886971,1.17270193555896e-10
6,"side2",0.068793626353152,0.123388910963849,-0.173044195227612,0.310631447933916,0.557534917974172,0.577162008763653
6,"time*side2",-0.00694046940593039,0.00948202096841645,-0.0255248890046802,0.0116439501928195,-0.731960984799371,0.464192381502512
6,"time*age",0.00167891895849536,0.000524463303971185,0.000650989771498956,0.00270684814549177,3.20121340384113,0.0013685013718312
7,"Prm6",4.10882212069982,0.450927385775431,3.22502068493718,4.99262355646246,9.11193742121948,0
7,"Prm7",5.56182415620742,0.506002487066687,4.57007750546902,6.55357080694582,10.9916933184449,0
7,"time",-0.0518847366008252,0.025971066017936,-0.102787090636092,-0.000982382565558541,-1.99779002390556,0.0457394293530942
7,"age",-0.0457287783138693,0.0071429466987011,-0.0597286965868128,-0.0317288600409259,-6.40194869747311,1.53406176650606e-10
7,"side2",0.00415657672116302,0.123936735106948,-0.238754960449936,0.247068113892262,0.0335378910665689,0.973245650114905
