"_Imputation_","Parm","Estimate","StdErr","LowerCL","UpperCL","Z","ProbZ"
1,"Prm6",5.76812343129657,0.385267253580075,5.01301348985696,6.52323337273618,14.9717459184413,0
1,"Prm7",7.3836647316982,0.393452964597499,6.61251109147659,8.15481837191981,18.7663212532956,0
1,"time",-0.0968970431609612,0.0174803981634571,-0.131157993996757,-0.0626360923251652,-5.5431828414255,2.97022419992743e-08
1,"age",-0.0733427480809119,0.00590011722903013,-0.0849067653543752,-0.0617787308074486,-12.4307272608155,0
1,"side2",-0.0103099976900068,0.0843276106838325,-0.175589077532634,0.15496908215262,-0.122261233377783,0.902692132900029
1,"time*side2",0.00174388019054202,0.00523670064035241,-0.00851986446236654,0.0120076248434506,0.333011243206117,0.739125796233595
1,"time*age",0.00050232809712739,0.00025903429610823,-5.36979400542583e-06,0.0010100259882602,1.93923393417181,0.0524728593263182
2,"Prm6",5.56230369204843,0.375708657674221,4.82592825432707,6.29867912976979,14.8048323572877,0
2,"Prm7",7.16181198823132,0.381653937737637,6.41378401570766,7.90983996075498,18.7651987313036,0
2,"time",-0.0704853330039588,0.0168885533530552,-0.10358628932693,-0.0373843766809875,-4.17355658181391,2.99881140954916e-05
2,"age",-0.0710653661913515,0.00566627509002568,-0.0821710612942982,-0.0599596710884047,-12.5418136363424,0
2,"side2",-0.0344025474277325,0.0874322548154891,-0.20576661795322,0.136961523097755,-0.393476612267786,0.693967494555815
2,"time*side2",-0.0126928104456584,0.00523892827355674,-0.0229609211794182,-0.00242469971189854,-2.42278759755593,0.0154019290182839
2,"time*age",0.000356810169084168,0.000245139475641433,-0.000123654374362075,0.000837274712530411,1.45553941547169,0.145519986565428
3,"Prm6",5.80299262896232,0.383523148790673,5.05130107009521,6.55468418782944,15.1307493361492,0
3,"Prm7",7.38361512485611,0.392331456269046,6.61465960056663,8.15257064914559,18.8198397219332,0
3,"time",-0.106373643367484,0.0162191526119294,-0.138162598346624,-0.0745846883883438,-6.55852040563729,5.43443068323768e-11
3,"age",-0.0730696024112113,0.00577628610480825,-0.0843909151410347,-0.061748289681388,-12.6499278403795,0
3,"side2",-0.173130437307445,0.0886055979144929,-0.346794218048489,0.000533343433598149,-1.95394468727045,0.0507077589585139
3,"time*side2",0.0214439836711932,0.00506169004993883,0.0115232534724083,0.031364713869978,4.2365264288461,2.27004212296489e-05
3,"time*age",0.000464092944823509,0.000239479564574721,-5.2783767762776e-06,0.000933464266423296,1.9379229524142,0.0526326232459438
4,"Prm6",5.43315621470825,0.373587050525687,4.70093905058736,6.16537337882914,14.54321344132,0
4,"Prm7",7.0050781676275,0.379365253556931,6.26153593367001,7.74862040158499,18.4652603314295,0
4,"time",-0.0694947724045832,0.0161334676470493,-0.101115787938542,-0.0378737568706244,-4.30749135430245,1.65116547612421e-05
4,"age",-0.0661385880238134,0.00572177094136314,-0.077353052996673,-0.0549241230509538,-11.5591114537096,0
4,"side2",-0.183716516141928,0.0817825388268484,-0.344007346806799,-0.0234256854770561,-2.24640270132596,0.024678225467665
4,"time*side2",0.00680472662392911,0.00531140838520178,-0.00360544251825042,0.0172148957661086,1.28115296931185,0.200139941683796
4,"time*age",-0.000103455184216794,0.000241288638537963,-0.000576372225629904,0.000369461857196317,-0.428761108868028,0.668097084156977
5,"Prm6",5.50807648334098,0.340294209220056,4.84111208912213,6.17504087755983,16.186218672264,0
5,"Prm7",7.17567901428613,0.348546327338821,6.49254076575833,7.85881726281393,20.5874469229758,0
5,"time",-0.0701886261905339,0.0148505775420041,-0.0992952233224813,-0.0410820290585866,-4.72632299935872,2.28621891551484e-06
5,"age",-0.0688830343314463,0.00526918996925537,-0.0792104568988865,-0.058555611764006,-13.0727938702845,0
5,"side2",-0.216642294792836,0.0866225499516277,-0.386419372947048,-0.0468652166386236,-2.50099188853035,0.0123846014939306
5,"time*side2",0.00793643807148117,0.00512371287290286,-0.00210585462653268,0.017978730769495,1.54896229908854,0.121390783269747
5,"time*age",9.84053353532975e-05,0.000222447099385401,-0.000337582967907491,0.000534393638614086,0.442376347568395,0.658216891725475
6,"Prm6",5.51689394590752,0.369360666303204,4.79296034264752,6.24082754916752,14.936333099905,0
6,"Prm7",7.20680565198631,0.376790935796354,6.46830898812432,7.94530231584831,19.1268020732893,0
6,"time",-0.0473502643885438,0.0161117953706166,-0.0789288030412316,-0.015771725735856,-2.93885711054259,0.0032942490987149
6,"age",-0.0694319012658966,0.00565257010630907,-0.0805107350943501,-0.0583530674374431,-12.2832446055646,0
6,"side2",-0.167536414466255,0.0833065302914888,-0.330814213514568,-0.00425861541794226,-2.01108381155771,0.0443166047938397
6,"time*side2",0.0045618751744194,0.00506257152284163,-0.00536058267950829,0.0144843330283471,0.901098414874109,0.367535995655566
6,"time*age",-0.000286298806589046,0.000237515093248931,-0.000751819835141622,0.000179222221963531,-1.20539205602815,0.228051986757178
7,"Prm6",5.68267841915694,0.362026080289504,4.9731203403253,6.39223649798857,15.6968758013584,0
7,"Prm7",7.24983020473352,0.368591954991616,6.52740324795874,7.9722571615083,19.6689865488204,0
7,"time",-0.0842308293898851,0.0156895483876651,-0.114981779163407,-0.0534798796163631,-5.36859489570179,7.93524350672925e-08
7,"age",-0.0724045376794098,0.00555311007868474,-0.0832884334358183,-0.0615206419230013,-13.0385561700514,0
7,"side2",-0.176707470107605,0.0854726461952011,-0.344230778313534,-0.00918416190167642,-2.06741545949149,0.0386950227659058
7,"time*side2",0.016937369958908,0.00483835000246536,0.00745437820947663,0.0264203617083394,3.50065000470773,0.000464124951950584
7,"time*age",0.000332420178949565,0.000231554342637024,-0.000121417993082849,0.000786258350981978,1.43560330229114,0.151115254535486
8,"Prm6",5.80612937582322,0.395970675131871,5.03004111363074,6.5822176380157,14.6630287050666,0
8,"Prm7",7.44179627693534,0.404472729468027,6.6490442944494,8.23454825942129,18.3987590133035,0
8,"time",-0.0689674129393509,0.0180913610630397,-0.104425829054219,-0.0335089968244828,-3.81217381594632,0.000137749949729482
8,"age",-0.0724841686704777,0.00600396211293407,-0.0842517181763715,-0.060716619164584,-12.0727225300653,0
8,"side2",-0.166534196751216,0.08712390826117,-0.337293919135481,0.00422552563304868,-1.91146379994799,0.05594500456847
8,"time*side2",-0.00285440839220243,0.00555268908855008,-0.0137374790231091,0.00802866223870427,-0.514058746434833,0.607210918691751
8,"time*age",2.7930042625693e-05,0.00026453916397961,-0.000490557191274677,0.000546417276526063,0.105579991278138,0.915915600653197
9,"Prm6",5.83406476014777,0.396896664161936,5.05616159280628,6.61196792748925,14.6992033114378,0
9,"Prm7",7.43600062870904,0.410241461612322,6.63194213898382,8.24005911843426,18.1259119921332,0
9,"time",-0.0907647134406066,0.0172391698690366,-0.124552865507286,-0.0569765613739268,-5.26502808024589,1.40167931483859e-07
9,"age",-0.0725229508747029,0.00602352076553582,-0.0843288346352822,-0.0607170671141236,-12.0399602985766,0
9,"side2",-0.257214200397386,0.0864693548964008,-0.426691021760743,-0.0877373790340278,-2.97462841842124,0.00293343643613797
9,"time*side2",0.0316554501137076,0.00525707575064569,0.0213517709784432,0.0419591292489721,6.02149400449854,1.72814429433288e-09
9,"time*age",-3.54191946627581e-06,0.000254067078287352,-0.000501504242566804,0.000494420403634253,-0.0139408832114402,0.98887714480733
10,"Prm6",5.5763924719919,0.355450566327141,4.87972216370634,6.27306278027747,15.6882362844785,0
10,"Prm7",7.20360759326613,0.365011211267698,6.4881987652281,7.91901642130416,19.7353050287078,0
10,"time",-0.114885869284048,0.0155003667612092,-0.14526602988318,-0.0845057086849164,-7.41181618821811,1.24567023362943e-13
10,"age",-0.0694596365626411,0.00545046208277946,-0.0801423459439901,-0.0587769271812922,-12.743806948423,0
10,"side2",-0.233391248047188,0.0845961626332637,-0.399196680038678,-0.0675858160556977,-2.75888693744859,0.00579985974303221
10,"time*side2",0.029959708399625,0.00529546322937583,0.0195807911885922,0.0403386256106578,5.65761805944149,1.53488233234356e-08
10,"time*age",0.000642233599432849,0.000230799778168428,0.000189874346582897,0.0010945928522828,2.78264391989222,0.00539179457236472
